label,modularity_class
SUPERIO_NUVOTON_COMMON_ROMSTAGE,113
EC_SMSC_MEC1308,114
ARCH_ROMSTAGE_POWER8,115
UPDATE_IMAGE,116
ARCH_VERSTAGE_ARMV4,117
GDB_WAIT,172
POWER_BUTTON_IS_OPTIONAL,118
ACPI_NHLT,119
USBDEBUG_DONGLE_BEAGLEBONE,188
ENABLE_APIC_EXT_ID,120
SUPERIO_FINTEK_F71863FG,92
VIDEO_MB,121
EC_ACPI,122
TPM_DEACTIVATE,264
TIMER_QUEUE,147
SUPERIO_ITE_IT8716F_OVERRIDE_FANCTL,98
CACHE_RELOCATED_RAMSTAGE_OUTSIDE_CBMEM,188
CMOS_POST,249
ARCH_VERSTAGE_X86_32,249
NORTHBRIDGE_VIA_VX900,123
CPU_ARMLTD_CORTEX_A9,124
COMPILER_GCC,204
TPM,264
DEBUG_SMBUS,241
CACHE_AS_RAM,249
SUPERIO_WINBOND_W83627UHG,80
MAX_CPUS,249
DCACHE_AP_STACK_SIZE,249
MULTIPLE_CBFS_INSTANCES,125
SUPERIO_SMSC_SMSCSUPERIO,216
EC_GOOGLE_CHROMEEC_SPI,171
DRIVERS_AS3722_RTC_ADDR,386
PXE_ROM_ID,249
CPU_INTEL_MODEL_F0X,126
ARM64_USE_SECURE_OS,231
SOUTHBRIDGE_INTEL_I82371EB,127
SOUTHBRIDGE_BROADCOM_BCM5785,232
SOUTHBRIDGE_BROADCOM_BCM5780,128
CARDBUS_PLUGIN_SUPPORT,73
ARCH_MIPS,264
PAYLOAD_FILE,206
SMBIOS_PROVIDED_BY_MOBO,129
X86EMU_DEBUG_PMM,149
X86EMU_DEBUG_DISK,149
BOARD_ROMSIZE_KB_512,130
SOUTHBRIDGE_AMD_CIMX_SB800,131
CONSOLE_SERIAL_38400,172
SOC_MARVELL_BG4CD,132
DRIVERS_PS2_KEYBOARD,249
COREINFO_SECONDARY_PAYLOAD,249
ARCH_BOOTBLOCK_ARMV7_M,264
CPU_INTEL_SOCKET_LGA775,133
CPU_INTEL_SOCKET_LGA771,134
SUPERIO_WINBOND_W83627HF,80
USBDEBUG_IN_ROMSTAGE,188
COREBOOT_ROMSIZE_KB_1024,187
USBDEBUG_DONGLE_FTDI_FT232H,188
NORTHBRIDGE_RDC_R8610,135
DRIVERS_MC146818,249
HAVE_SMI_HANDLER,232
CPU_MICROCODE_HEADER_FILES,34
SUPERIO_SMSC_LPC47N217,136
FRAMEBUFFER_VESA_MODE_117,149
SUPERIO_ITE_IT8728F,98
NORTHBRIDGE_INTEL_I82830,214
UDELAY_TIMER2,147
ARCH_ROMSTAGE_RISCV,137
ARCH_VERSTAGE_ARMV8_64,138
SOC_INTEL_FSP_BROADWELL_DE,139
DRIVERS_XGI_Z9S,140
DEBUG_RAM_SETUP,141
LPC_TPM,264
BACKUP_DEFAULT_SMM_REGION,142
SUPERIO_WINBOND_W83627EHG,80
LATE_CBMEM_INIT,143
SUPERIO_FINTEK_F71872,92
PAYLOAD_FILO,206
GFXUMA,144
SOC_INTEL_APOLLOLAKE,145
CPU_QEMU_POWER8,146
PAYLOAD_TIANOCORE,206
LAPIC_MONOTONIC_TIMER,147
SPI_FLASH_EON,232
POST_IO_PORT,249
UNCOMPRESSED_RAMSTAGE,148
SPI_FLASH_GIGADEVICE,232
FRAMEBUFFER_SET_VESA_MODE,149
HAVE_ROMSTAGE_CONSOLE_SPINLOCK,150
SUPERIO_NSC_PC87417,151
CMOS_DEFAULT_FILE,152
INTEL_DDI,153
SOC_MARVELL_ARMADA38X,154
HUDSON_UART,165
EC_GOOGLE_CHROMEEC_SPI_CHIP,171
SOUTHBRIDGE_INTEL_FSP_I89XX,155
CPU_INTEL_MODEL_2065X,156
EC_LENOVO_PMH7,157
SSE,249
CHROMEOS,206
ELOG_GSMI,188
SOC_INTEL_FSP_BAYTRAIL,158
SOUTHBRIDGE_INTEL_COMMON_GPIO,159
BOOTBLOCK_NORMAL,200
SOUTHBRIDGE_INTEL_FSP_RANGELEY,160
ARCH_BOOTBLOCK_X86_32,249
S3_VGA_ROM_RUN,206
ELOG,188
SOUTHBRIDGE_AMD_AMD8151,161
TSC_MONOTONIC_TIMER,147
DRIVERS_ICS_954309,162
USE_SIEMENS_HWILIB,163
DEBUG_ACPI,164
SOUTHBRIDGE_AMD_PI_KERN,165
ARCH_ROMSTAGE_X86_32,249
ARCH_RAMSTAGE_X86_64,166
SPI_FLASH_SST,232
HYPERTRANSPORT_PLUGIN_SUPPORT,73
GENERATE_SMBIOS_TABLES,249
DRIVERS_SIL_3114,73
NO_UART_ON_SUPERIO,172
DRIVERS_AS3722_RTC_BUS,386
NORTHBRIDGE_VIA_CN700,167
FATAL_ASSERTS,168
SOUTHBRIDGE_BROADCOM_BCM21000,169
ARCH_RAMSTAGE_MIPS,170
POWER_BUTTON_FORCE_ENABLE,118
EC_EXTERNAL_FIRMWARE,171
PCIEXP_ASPM,79
CONSOLE_SERIAL_460800,172
AZALIA_PLUGIN_SUPPORT,73
DRIVERS_I2C_ADM1027,173
DRIVERS_I2C_ADM1026,174
NORTHBRIDGE_INTEL_I5000,175
ARCH_RAMSTAGE_RISCV,176
SOC_UCB_RISCV,177
SOUTHBRIDGE_AMD_SB700,178
SUPERIO_SERVERENGINES_PILOT,179
DRIVERS_EMULATION_QEMU_BOCHS_XRES,79
SUPERIO_VIA_VT1211,180
SPI_FLASH_STMICRO,232
CPU_SAMSUNG_EXYNOS5420,181
VGA_BIOS,249
PXE_ROM_FILE,182
CPU_INTEL_MODEL_F4X,183
SUPERIO_WINBOND_W83697HF,80
EC_GOOGLE_CHROMEEC_I2C_PROTO3,171
CPU_AMD_SOCKET_G34_NON_AGESA,184
SUPERIO_SMSC_FDC37N972,185
SOUTHBRIDGE_AMD_RS690,186
DRIVERS_EMULATION_QEMU_BOCHS_YRES,79
YABEL_PCI_ACCESS_OTHER_DEVICES,149
DRIVERS_AS3722_RTC,386
MMCONF_SUPPORT,79
COREBOOT_ROMSIZE_KB_16384,187
USE_OPTION_TABLE,188
CPU_INTEL_SOCKET_FCBGA559,189
GENERATE_PIRQ_TABLE,190
ARCH_RISCV,264
CPU_AMD_SOCKET_ASB2,191
EC_GOOGLE_CHROMEEC_SPI_BUS,171
SUPERIO_SMSC_LPC47M15X,192
HPET_MIN_TICKS,193
ARCH_RAMSTAGE_ARMV7,251
SUPERIO_FINTEK_F81866D,92
NO_POST,249
VGA_BIOS_ID,249
SUPERIO_INTEL_I3100,194
SMBUS_HAS_AUX_CHANNELS,195
MAINBOARD_VENDOR,196
DRIVERS_LENOVO_WACOM,197
SOUTHBRIDGE_INTEL_I82801BX,198
SOUTHBRIDGE_AMD_SR5650,199
EC_GOOGLE_CHROMEEC,171
BOOTBLOCK_SIMPLE,200
SYSTEM_TYPE_LAPTOP,201
SOUTHBRIDGE_AMD_PI_BOLTON,202
BOARD_ROMSIZE_KB_128,203
MAINBOARD_HAS_LPC_TPM,264
COVERAGE,204
DRIVERS_I2C_LM63,205
YABEL_DIRECTHW,149
SUPERIO_WINBOND_WPCD376I,80
HAVE_ACPI_RESUME,206
AP_IN_SIPI_WAIT,249
NORTHBRIDGE_INTEL_NEHALEM,207
COMMON_CBFS_SPI_WRAPPER,232
CPU_INTEL_MODEL_69X,208
ARCH_BOOTBLOCK_ARMV7,264
DRIVERS_EMULATION_QEMU_BOCHS,79
CPU_INTEL_SOCKET_MPGA604,209
CPU_INTEL_SOCKET_MPGA603,210
CPU_AMD_SOCKET_FM2_NON_AGESA,211
STATIC_OPTION_TABLE,188
CBFS_AUTOGEN_ATTRIBUTES,212
SMM_MODULE_HEAP_SIZE,188
TPM_PIRQ,264
MAINBOARD_DO_NATIVE_VGA_INIT,79
CPU_INTEL_MODEL_F1X,213
ARCH_BOOTBLOCK_ARM64,264
INTEL_MBI,214
MMCONF_SUPPORT_DEFAULT,79
CPU_INTEL_FSP_MODEL_306AX,215
SUPERIO_WANTS_14MHZ_CLOCK,216
SUPERIO_SMSC_KBC1100,217
EHCI_BAR,218
PCI_IO_CFG_EXT,219
SUPERIO_NUVOTON_NCT5104D,113
COMMON_FADT,220
CPU_AMD_AGESA_FAMILY15_TN,221
X86EMU_DEBUG_PNP,149
USBDEBUG_DEFAULT_PORT,188
NORTHBRIDGE_INTEL_X4X,222
X86EMU_DEBUG_TIMINGS,147
NORTHBRIDGE_AMD_AMDFAM10,223
MULTIPLE_VGA_ADAPTERS,224
ARCH_BOOTBLOCK_POWER8,225
SPI_CONSOLE,232
SPI_FLASH_SPANSION,232
PCI_OPTION_ROM_RUN_REALMODE,149
WARNINGS_ARE_ERRORS,226
MAX_PIRQ_LINKS,227
DEFAULT_CONSOLE_LOGLEVEL_0,3
PAYLOAD_OPTIONS,228
HAVE_INTEL_FIRMWARE,229
SPI_FLASH_NO_FAST_READ,232
DRIVERS_ASPEED_AST2050,230
CPU_QEMU_X86,249
ARCH_RAMSTAGE_ARM64,231
ELOG_CBMEM,188
SPI_FLASH_SMM,232
CPU_INTEL_MODEL_6DX,233
SUPERIO_SMSC_DME1737,234
MAINBOARD_HAS_CHROMEOS,206
NORTHBRIDGE_INTEL_SANDYBRIDGE,249
DRIVERS_RICOH_RCE822,235
CPU_INTEL_SOCKET_RPGA988B,236
RAMTOP,249
EARLY_PCI_BRIDGE,73
CPU_INTEL_NUM_FIT_ENTRIES,237
AP_SIPI_VECTOR,249
NORTHBRIDGE_AMD_GX2,238
FLASHMAP_OFFSET,249
BOARD_ROMSIZE_KB_256,79
X86_TOP4G_BOOTMEDIA_MAP,239
CONSOLE_CBMEM,172
SUPERIO_NUVOTON_WPCM450,240
HAVE_DEBUG_SMBUS,241
REALMODE_DEBUG,149
ARCH_VERSTAGE_ARMV7,117
SKIP_MAX_REBOOT_CNT_CLEAR,200
VERSTAGE_ADDR,242
TSC_SYNC_LFENCE,243
C_ENV_BOOTBLOCK_SIZE,244
CPU_AMD_PI_00660F01,245
SPKMODEM,249
NORTHBRIDGE_INTEL_E7505,246
SUPERIO_NSC_PC87360,247
NORTHBRIDGE_INTEL_E7501,248
PAYLOAD_NONE,206
ARCH_X86,249
CONSOLE_NE2K,73
AMD_SB_CIMX,250
ELOG_DEBUG,188
ARCH_RAMSTAGE_ARM,251
