label,modularity_class
FEATURE_CPIO_P,85
VLOCK,81
FEATURE_LAST_SMALL,66
NMETER,82
FOLD,83
FEATURE_TR_EQUIV,221
RMDIR,186
CHAT,84
FEATURE_CPIO_O,85
VOLNAME,86
FEATURE_FLOAT_SLEEP,176
FEATURE_GREP_CONTEXT,141
MKTEMP,87
UNZIP,88
FEATURE_PS_WIDE,68
INSTALL_SH_APPLET_SCRIPT_WRAPPER,147
FEATURE_FBSET_READMODE,70
FEATURE_FIND_CONTEXT,73
EXPR,116
I2CDUMP,70
FEATURE_VOLUMEID_NTFS,37
UNAME,89
SED,90
FEATURE_ADDUSER_LONG_OPTIONS,186
FEATURE_IFUPDOWN_IPV6,26
IPTUNNEL,138
FEATURE_REVERSE_SEARCH,13
FEATURE_SEAMLESS_BZ2,73
DELGROUP,91
FEATURE_NTPD_CONF,70
FEATURE_XARGS_SUPPORT_REPL_STR,150
SYSLOGD,219
NO_DEBUG_LIB,17
FEATURE_TOP_DECIMALS,68
FEATURE_DEL_USER_FROM_GROUP,91
FEATURE_TAB_COMPLETION,13
KILLALL5,92
XZ,93
GETSEBOOL,73
FEATURE_SYNC_FANCY,131
FEATURE_VOLUMEID_FAT,37
FTPPUT,186
FDISK,118
FEATURE_IP_TUNNEL,138
FEATURE_HTTPD_ERROR_PAGES,63
FEATURE_IFUPDOWN_IPV4,26
PREFIX,94
USLEEP,95
FEATURE_MOUNT_NFS,12
FALSE,96
LOADFONT,164
FEATURE_FANCY_PING,26
FEATURE_TFTP_GET,74
FEATURE_EDITING_SAVE_ON_EXIT,13
EXTRA_COMPAT,97
READAHEAD,118
FEATURE_LESS_MAXLINES,46
LOCALE_SUPPORT,229
FEATURE_SHADOWPASSWDS,225
DF,38
PING,26
DD,98
PING6,26
FEATURE_HDPARM_HDIO_DRIVE_RESET,218
DC,99
FEATURE_SORT_BIG,149
FEATURE_PS_TIME,68
FEATURE_FTP_AUTHENTICATION,196
FEATURE_DIFF_DIR,186
FEATURE_SEAMLESS_LZMA,73
UNICODE_SUPPORT,229
SHOWKEY,70
DU,38
FEATURE_START_STOP_DAEMON_FANCY,186
FEATURE_HTTPD_PROXY,63
SHA1SUM,28
HUSH_FUNCTIONS,217
FEATURE_PIDOF_OMIT,100
FEATURE_VOLUMEID_ISO9660,37
SETCONSOLE,186
WHOIS,101
BASE64,102
FEATURE_BASH_IS_HUSH,217
FEATURE_FIND_PERM,161
TIMEOUT,103
FEATURE_IFCONFIG_STATUS,26
MPSTAT,104
FEATURE_VI_SEARCH,168
DHCPD_LEASES_FILE,60
FEATURE_SEAMLESS_GZ,73
PID_FILE_PATH,105
PS,68
FEATURE_HWIB,106
FEATURE_VOLUMEID_EXT,37
FEATURE_ROTATE_LOGFILE,219
SETLOGCONS,70
ASH_BASH_COMPAT,217
FEATURE_SEAMLESS_Z,73
FEATURE_IP_LINK,138
FEATURE_SETFONT_TEXTUAL_MAP,164
ASH_MAIL,217
FEATURE_TFTP_BLOCKSIZE,74
NETSTAT,70
FEATURE_XARGS_SUPPORT_ZERO_TERM,150
FSTRIM,70
IPCS,70
UDHCP_DEBUG,60
SLEEP,176
DEBUG_PESSIMIZE,107
SH_MATH_SUPPORT,217
TEST,217
INSTALL_NO_USR,108
FEATURE_HEXDUMP_REVERSE,184
FEATURE_DIFF_LONG_OPTIONS,186
MODPROBE_SMALL,70
UNIX2DOS,109
WC,110
FEATURE_CALL_TELINIT,117
ADJTIMEX,70
PATCH,111
DELUSER,112
NC_110_COMPAT,210
USE_BB_PWD_GRP,225
FEATURE_AR_LONG_FILENAMES,27
TRACEROUTE,26
UNLINK,113
PAM,12
FEATURE_VOLUMEID_UDF,37
SWITCH_ROOT,70
RUNSV,114
VERBOSE_RESOLUTION_ERRORS,115
EXPR_MATH_SUPPORT_64,116
HUSH_TICK,217
SV_DEFAULT_SERVICE_DIR,137
INIT,117
AWK,168
FEATURE_FDISK_WRITABLE,118
UDHCPC_DEFAULT_SCRIPT,60
WHOAMI,119
FEATURE_VOLUMEID_REISERFS,37
FEATURE_MDEV_CONF,120
FEATURE_INSMOD_KSYMOOPS_SYMBOLS,70
FEATURE_EDITING_VI,13
FEATURE_INSMOD_LOAD_MAP,70
FEATURE_DMESG_PRETTY,70
FEATURE_BUFFERS_USE_MALLOC,58
FEATURE_MINIX2,70
IOCTL_HEX2STR_ERROR,121
FEATURE_VI_8BIT,168
CHGRP,122
FEATURE_CHAT_IMPLICIT_CR,84
FEATURE_VOLUMEID_XFS,37
DUMPKMAP,70
FEATURE_VI_REGEX_SEARCH,168
HOSTNAME,123
CHPST,124
FEATURE_CHAT_TTY_HIFI,84
MKNOD,125
FEATURE_BRCTL_SHOW,70
RUNLEVEL,66
FEATURE_POPMAILDIR_DELIVERY,126
